dataset_id,trace_id,timestamp,query,actual_output,evaluation_name,source_name,environment,latency_ms,relevance_score,coherence_score,accuracy_score,explanation,signals,error
mon-001,trace-a1b2c3d4,2026-01-27T10:00:00Z,"What are the business hours?","Our business hours are Monday-Friday 9am-5pm, and Saturday 10am-2pm. We are closed on Sundays.",customer_support,Atlas,prod,234,0.95,0.92,0.88,"The response accurately addresses the user's question about business hours with specific days and times.","{}",
mon-002,trace-e5f6g7h8,2026-01-27T10:05:00Z,"How do I reset my password?","To reset your password, click 'Forgot Password' on the login page, enter your email, and follow the instructions sent to your inbox.",customer_support,Atlas,prod,312,0.87,0.90,0.85,"Response provides step-by-step instructions for password reset.","{}",
mon-003,trace-i9j0k1l2,2026-01-27T10:10:00Z,"What is your return policy?","We offer a 30-day return policy for all unused items in original packaging. Please contact support to initiate a return.",customer_support,Atlas,prod,189,0.92,0.94,0.91,"Clear explanation of return policy with timeframe and conditions.","{}",
mon-004,trace-m3n4o5p6,2026-01-27T10:15:00Z,"Can I track my order?","Yes, you can track your order by logging into your account and visiting the 'Order History' section. You'll find a tracking link there.",customer_support,Atlas,prod,267,0.89,0.88,0.87,"Provides correct path to order tracking functionality.","{}",
mon-005,trace-q7r8s9t0,2026-01-27T10:20:00Z,"Do you offer international shipping?","We currently ship to the US, Canada, and UK. International shipping rates vary by destination and are calculated at checkout.",customer_support,Atlas,prod,198,0.94,0.91,0.90,"Lists supported countries and explains rate calculation.","{}",
mon-006,trace-u1v2w3x4,2026-01-27T10:25:00Z,"How can I contact support?","You can reach our support team via email at support@example.com, by phone at 1-800-EXAMPLE, or through live chat on our website.",customer_support,Atlas,prod,145,0.96,0.95,0.93,"Comprehensive list of all support contact methods.","{}",
mon-007,trace-y5z6a7b8,2026-01-27T10:30:00Z,"What payment methods do you accept?","We accept Visa, MasterCard, American Express, PayPal, and Apple Pay. All transactions are secured with SSL encryption.",customer_support,Atlas,prod,223,0.91,0.93,0.89,"Lists all payment options with security assurance.","{}",
mon-008,trace-c9d0e1f2,2026-01-27T10:35:00Z,"Is my data secure?","Yes, we use industry-standard encryption and security practices to protect your data. We are SOC 2 compliant and GDPR ready.",customer_support,Atlas,prod,456,0.88,0.87,0.82,"Mentions security standards but lacks specific details about data handling.","{}",
mon-009,trace-g3h4i5j6,2026-01-27T10:40:00Z,"How do I cancel my subscription?","To cancel your subscription, go to Account Settings > Subscription > Cancel. Your access will continue until the end of your billing period.",customer_support,Atlas,prod,287,0.93,0.92,0.90,"Clear cancellation path with billing cycle information.","{}",
mon-010,trace-k7l8m9n0,2026-01-27T10:45:00Z,"What are the system requirements?","Our application requires Windows 10+, macOS 10.14+, or a modern web browser. Minimum 4GB RAM and stable internet connection recommended.",customer_support,Atlas,prod,334,0.90,0.89,0.86,"Lists OS requirements but missing specific browser versions.","{}",
mon-011,trace-o1p2q3r4,2026-01-27T11:00:00Z,"Do you have a mobile app?","Yes, our mobile app is available on iOS App Store and Google Play Store. Search for 'Example App' to download.",customer_support,Nova,prod,178,0.95,0.94,0.92,"Confirms app availability with download instructions.","{}",
mon-012,trace-s5t6u7v8,2026-01-27T11:05:00Z,"How do I update my billing information?","Navigate to Account Settings > Billing > Update Payment Method. You can add a new card or update your existing payment details.",customer_support,Nova,prod,245,0.92,0.91,0.88,"Provides navigation path for billing updates.","{}",
mon-013,trace-w9x0y1z2,2026-01-27T11:10:00Z,"What is your uptime guarantee?","We guarantee 99.9% uptime SLA for all paid plans. Any downtime beyond this is eligible for service credits.",customer_support,Nova,prod,167,0.94,0.93,0.91,"Clear SLA statement with compensation policy.","{}",
mon-014,trace-a3b4c5d6,2026-01-27T11:15:00Z,"Can I export my data?","Yes, you can export all your data in CSV or JSON format from Account Settings > Data > Export. This includes all your records and history.",customer_support,Nova,prod,389,0.89,0.88,0.85,"Covers export formats and navigation path.","{}",
mon-015,trace-e7f8g9h0,2026-01-27T11:20:00Z,"Do you offer team plans?","Yes, we offer team plans starting at 5 users. Team plans include shared workspaces, admin controls, and priority support.",customer_support,Nova,prod,212,0.93,0.92,0.89,"Lists team plan features and minimum seats.","{}",
mon-016,trace-i1j2k3l4,2026-01-27T11:25:00Z,"How do I enable two-factor authentication?","Go to Security Settings > Two-Factor Authentication > Enable. You can use an authenticator app or receive codes via SMS.",customer_support,Nova,prod,278,0.91,0.90,0.87,"Clear 2FA setup instructions with method options.","{}",
mon-017,trace-m5n6o7p8,2026-01-27T11:30:00Z,"What integrations do you support?","We integrate with Slack, Microsoft Teams, Salesforce, Zendesk, Jira, and 50+ other tools. Check our integrations page for the full list.",customer_support,Nova,prod,345,0.88,0.86,0.83,"Lists key integrations but vague about 'others'.","{}",
mon-018,trace-q9r0s1t2,2026-01-27T11:35:00Z,"Can I get a demo?","Absolutely! Book a demo at demo.example.com. Our team will walk you through all features and answer your questions.",customer_support,Nova,prod,156,0.96,0.95,0.94,"Enthusiastic response with clear booking instructions.","{}",
